brewery,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,closed_since_2022,untappd_profile_link,January,February,March,April,May,June,July,August,September,October,November,December,total_annual
Standard Brewing,micro,2504 S Jackson St,Seattle,98144,King,47.59934851,-122.2996633,2013,0,0,https://untappd.com/v/standard-brewing/627145,44.56,43.14,59.79,45.98,53.88,41.0,63.8,86.6,39.45,29.81,40.41,35.56,583.98
Steam Donkey Brewing Company,brewpub,101 E Wishkah St,Aberdeen,98520,Grays Harbor,46.974244,-123.81773,2018,1,0,https://untappd.com/SteamDonkeyBrewingCompany,25.75,25.75,15.25,17.66,27.26,36.87,21.82,34.52,47.23,18.0,26.78,35.57,332.46
Stemma Brewing Company,taproom,2039 Moore St,Bellingham,98225,Whatcom,48.7575961,-122.4610244,2019,1,0,https://untappd.com/StemmaBrewingCo,-13.44,230.3,130.16,114.27,179.86,140.32,123.83,163.67,172.39,163.11,194.6,99.72,1698.79
Stones Throw Brewery,brewpub,1009 Larrabee Ave,Bellingham,98225,Whatcom,48.71859508,-122.5042858,2015,0,0,https://untappd.com/w/stones-throw-brewery/251779,25.36,49.38,73.4,83.13,92.86,48.6,49.54,43.51,43.0,56.98,70.95,28.0,664.71
Stormy Mountain Brewing,micro,133 E Woodin Ave,Chelan,98816,Chelan,47.84002015,-120.0184827,2016,0,0,https://untappd.com/StormyMountainBrewing,10.5,10.5,8.0,7.5,9.0,5.5,12.5,4.0,9.0,7.5,4.5,6.0,94.5
Stoup Brewing,taproom,1108 NW 52nd St,Seattle,98107,King,47.666659,-122.3712168,2013,1,0,https://untappd.com/StoupBrewing,301.94,420.3,480.97,448.93,466.55,566.31,481.77,523.95,542.94,480.2,371.95,391.1,5476.91
Structures Brewing,micro,1420 N State St,Bellingham,98225,Whatcom,48.74961882,-122.4751162,2015,0,0,https://untappd.com/w/structures-brewing/238401,95.5,80.5,129.0,91.5,99.0,117.0,98.0,85.5,108.0,104.0,89.0,96.0,1193.0
Sumerian Brewing Company,taproom,15510 Woodinville Redmond Rd NE,Woodinville,98072,King,47.74,-122.153,2015,0,1,https://untappd.com/SumerianBrewery,51.2,33.03,100.53,81.96,63.39,106.21,58.15,52.29,51.04,49.8,43.63,92.23,783.46
Swinnerton Brewery,micro,1809 8th St,Marysville,98270,Snohomish,48.0556186,-122.1707737,2016,0,0,https://untappd.com/w/swinnerton-brewery/208721,,,,,,,1.0,,,,,,
TT's Old Iron Brewery,brewpub,154 S Madison,Spokane,99201,Spokane,47.6185516,-117.25099,2017,0,0,https://untappd.com/TTsOldIronBrewery,7.4,9.2,19.4,20.21,39.0,57.8,13.0,25.0,23.2,19.2,20.0,25.48,278.89
Taneum Creek Brewing,brewpub,811 Wa-970 #7,Cle Elum,98922,Kittitas,47.19379318,-120.9298215,2021,1,0,https://untappd.com/TaneumCreekBrewing,10.1,2.93,7.34,5.55,7.21,4.82,2.5,,,,,,
Temperate Habits Brewing Company,brewpub,500 S 1St St,Mt Vernon,98273,Skagit,48.419287,-122.337759,2021,0,0,https://untappd.com/w/temperate-habits-brewing-company/477378,6.0,15.0,18.0,22.0,12.0,12.0,15.0,12.0,12.0,12.0,18.0,18.0,172.0
Ten Pin Brewing Company,brewpub,1165 N Stratford Rd,Moses Lake,98837,Grant,47.14506241,-119.2781729,2013,1,0,https://untappd.com/TenPinBrewingCompany,97.56,66.05,88.05,139.53,129.23,124.18,189.65,132.24,111.24,58.37,106.16,40.71,1282.97
Terramar Brewing and Distilling,brewpub,5712 Gilkey Ave,Edison,98232,Skagit,48.5636192,-122.4438085,2021,1,0,https://untappd.com/TerramarBrewstillery,18.29,13.31,34.78,37.73,30.27,31.14,46.04,38.11,40.57,45.14,19.24,22.48,377.1
The Good Society Brewery,brewpub,2701 California Ave Sw,Seattle,98116,King,47.579189,-122.386747,2020,1,0,https://untappd.com/goodsocietybeer,19.29,27.88,29.0,28.32,30.96,27.7,27.06,34.83,36.3,32.95,19.51,22.05,335.85
The Grain Shed,brewpub,1026 E Newark Ave,Spokane,99202,Spokane,47.64914975,-117.3941562,2021,0,0,https://untappd.com/TheGrainShed,8.91,16.5,15.83,22.58,29.33,47.62,18.42,8.67,19.25,18.17,27.62,37.08,269.98
The Heavy Metal Brewing Company,micro,809 Macarthur Blvd,Vancouver,98661,Clark,45.62792809,-122.618584,2017,1,0,https://untappd.com/TheHeavyMetalBrewingCo,21.5,21.5,21.38,21.25,21.0,20.75,33.25,45.75,58.25,47.62,37.0,37.0,386.25
The Hidden Mother Brewery,taproom,1303 N. Washington St,Spokane,98406,Spokane,47.261918,-122.485637,2018,0,1,https://untappd.com/TheHiddenMotherBrewery,48.14,1.0,,,-3.38,,,,,,,,
The Station U-Brew,micro,211 W Stewart Ave,Puyallup,98371,Pierce,47.19328373,-122.2959375,2010,0,0,https://untappd.com/w/the-station-u-brew/16747,8.71,9.03,12.26,9.36,9.36,7.74,6.78,4.84,10.0,7.42,7.42,9.03,101.95
Thirsty Crab Brewery,micro,9000 WA-525,Clinton,98236,Island,47.97987418,-122.3592704,2016,1,0,https://untappd.com/w/thirsty-crab-brewery/522205,12.0,9.0,12.0,25.0,25.5,26.0,41.0,16.0,29.0,21.0,13.0,9.0,238.5
Three Bull Brewing,taproom,809 19th St,Snohomish,98290,Snohomish,47.934463,-122.091729,2017,0,0,https://untappd.com/ThreeBullBrewingCo,4.56,2.23,3.99,5.97,3.04,4.13,5.89,12.2,3.33,4.34,3.94,2.18,55.8
Three Magnets Brewing,micro,600 Franklin St SE Suite 102,Olympia,98501,Thurston,47.04311475,-122.8985644,2014,0,0,https://untappd.com/ThreeMagnetsBrewing,,,,,129.63,208.1,41.09,175.46,93.64,22.1,228.27,,
Timber Monster Brewing,taproom,410 Main Street,Sultan,98294,Snohomish,47.86241184,-121.8162157,2018,0,0,https://untappd.com/w/timber-monster-brewing-company/388115,8.0,,,,,,,,,,,,
Timber Patch Brewing,taproom,180 2nd St,Morton,98356,Lewis,46.55580371,-122.2752505,2020,0,0,https://untappd.com/w/timber-patch-brewing/466510,4.5,6.16,6.66,6.0,7.65,7.14,8.16,10.96,9.44,6.46,5.82,5.46,84.41
Tin Dog Brewing,taproom,309 S Cloverdale Street,Seattle,98108,King,47.5246936,-122.3313703,2014,0,0,https://untappd.com/TinDogBrewing,3.56,3.17,3.23,4.22,10.4,11.15,12.96,14.76,4.16,4.69,2.26,2.26,76.82000000000001
Top Down Brewing Company,micro,15355 Main St,Sumner,98390,Pierce,47.2033083,-122.2442431,2000,0,0,https://untappd.com/TopDownBrewingCompany,15.79,26.08,36.38,15.81,15.07,16.91,24.08,17.4,14.33,17.66,12.29,13.26,225.06
Top Frog Brewery,taproom,221 Vista Dr,Newport,99156,Pend Oreille,48.18376927,-117.1586926,2014,0,0,https://untappd.com/w/top-frog-brewery/130102,2.25,4.0,4.25,4.0,2.75,5.5,3.0,2.5,4.0,2.0,2.75,6.0,43.0
Top Knot Brewing,nano,1753 Havillah Rd,Tonasket,98855,Okanogan,48.84809734,-119.1918555,2022,0,1,https://untappd.com/Top_Knot_Brewing,,,,,1.94,2.33,7.5,,,4.0,1.25,5.6,
Top Rung Brewing Company,brewpub,8343 Hogum Bay Ln Ne,Lacey,98516,Thurston,47.07583,-122.763153,2014,1,0,https://untappd.com/TopRungBrewing,37.29,37.7,57.17,76.86,96.54,68.3,52.55,54.41,52.45,51.61,44.71,37.92,667.51
Trap Door Brewing,alt prop,2315 Main St,Vancouver,98660,Clark,45.6386356,-122.6711185,2015,1,0,https://untappd.com/TrapDoorBrewingCo,42.88,42.11,47.33,63.65,49.83,67.26,57.58,69.84,96.7,62.74,-0.39,120.67,720.2
Triceratops Brewing Company,alt prop,8036 River Dr SE #203,Tumwater,98501,Thurston,46.9705449,-122.88462,2014,0,0,https://untappd.com/TriceratopsBrewingCompany,44.75,25.45,38.87,55.61,61.25,66.88,72.52,52.33,32.15,51.82,49.47,47.12,598.22
Triple R Brewing,taproom,916 NE 64th Street,Seattle,98115,King,47.67506635,-122.3183608,2014,0,0,https://untappd.com/TripleRBrewing,2.16,2.16,0.66,1.5,1.0,0.5,1.0,1.25,1.5,2.0,1.5,2.16,17.39
Triplehorn Brewing Company,brewpub,19510 144th Ave Ne,Woodinville,98072,King,47.76919839,-122.1476482,2012,1,0,https://untappd.com/TriplehornBrewing,60.0,60.0,55.0,45.09,66.04,87.0,65.0,59.0,62.0,80.0,56.0,51.0,746.13
Trusty Brewing Company,micro,114 E Evergreen Blvd,Vancouver,98660,Clark,45.6289231,-122.6707958,2016,0,1,https://untappd.com/TrustyBrewing,,13.58,,,3.75,2.33,,,,,,,
Twin Sisters Brewing Company,micro,508 Carolina Street,Bellingham,98225,Whatcom,48.76031192,-122.4689997,2018,1,0,https://untappd.com/TwinSistersBrewingCompany,57.11,109.04,108.02,121.08,134.21,143.22,142.62,99.6,93.03,87.67,83.07,62.79,1241.46
Two Beers Brewing Company,micro,4700 Ohio Ave S Unit A,Seattle,98134,King,47.56072271,-122.3379517,2008,0,0,https://untappd.com/TwoBeersBrewingCo,133.1,109.67,153.65,153.65,182.61,194.9,203.75,247.76,259.35,183.0,180.05,154.85,2156.34
Uprise Brewing Company,taproom,617 N Ash St,Spokane,99201,Spokane,47.66292668,-117.43655,2022,0,0,https://untappd.com/Uprise_Brewing_Co,0.0,0.0,0.0,0.0,0.0,0.0,1.7,58.29,48.72,43.92,33.34,34.37,220.34
Urban Family Brewing Company,micro,1103 NW 52nd St,Seattle,98107,King,47.66613655,-122.3710204,2012,1,0,https://untappd.com/UrbanFamilyBrewing,153.83,135.95,214.11,287.07,360.03,260.18,248.38,254.16,288.73,323.29,152.9,111.19,2789.82
V Twin Brewing Company,taproom,2302 N Argonne Rd Suite H,Spokane Valley,99212,Spokane,47.67782868,-117.2826374,2017,0,0,https://untappd.com/VTwinBrewingCompany,1.79,5.61,9.43,9.12,8.8,8.48,8.17,5.72,3.28,3.28,3.28,3.28,70.24
Valhöll Brewing Company,taproom,18970 rd Ave Ne,Poulsbo,98061,Kitsap,47.7351943,-122.6454,2010,0,0,https://untappd.com/ValhollBrewing,27.2,27.36,44.61,39.47,45.09,45.59,53.48,56.89,52.39,29.61,21.95,33.49,477.13
Valley Brewing Company,brewpub,3215 River Road,Yakima,98902,Yakima,46.61807448,-120.551908,2018,0,0,https://untappd.com/ValleyBrewingWA,23.08,24.03,40.81,39.8,38.78,32.43,79.68,73.14,66.6,59.99,53.38,53.38,585.1
Valley House Brewing Company,micro,16111 Main St Ne,Duvall,98019,King,47.74335796,-121.9858577,2017,0,0,https://untappd.com/ValleyHouseBrewingCo,16.8,18.4,14.5,22.0,28.6,32.1,23.6,22.1,16.8,21.7,29.15,36.6,282.35
Varietal Beer Company,micro,416 E Edison Ave,Sunnyside,98944,Yakima,46.32370381,-120.0154696,2017,1,0,https://untappd.com/VarietalBeerCo,193.7,193.7,110.67,149.0,187.34,158.55,240.1,321.64,146.97,201.62,256.27,256.27,2415.83
Vashon Brewing,taproom,17205 Vashon Hwy Sw,Vashon,98070,King,47.4505138,-122.4610462,2011,0,0,https://untappd.com/VashonBrewingCompany,2.17,2.17,5.22,8.28,5.68,11.5,17.32,5.83,7.34,2.75,1.79,1.79,71.84
Vice Beer,taproom,705 SE Park Crest Avenue Suite D430,Vancouver,98683,Clark,45.61538937,-122.521748,2022,1,0,https://untappd.com/Vice_Beer,0.0,0.0,0.0,0.0,3.39,6.78,10.17,4.89,-0.39,33.93,68.25,68.25,195.26999999999998
Victor 23 Craft Brewery,taproom,2905 St John's Blvd,Vancouver,98661,Clark,45.64258,-122.646328,2016,0,0,https://untappd.com/Victor23Brewing,14.15,7.71,42.9,48.53,14.22,27.6,46.76,38.15,62.0,9.25,15.0,38.89,365.15999999999997
Volition Brewing Company,brewpub,43525 se 76th ST,Snoqualmie,98065,King,47.49516514,-121.7860501,2019,1,0,https://untappd.com/VolitionBrewingCo,13.59,14.99,16.38,17.78,83.38,51.87,20.36,20.49,20.62,84.98,25.58,25.58,395.6
Wander Brewing,taproom,1807 Dean Ave,Bellingham,98225,Whatcom,48.75426712,-122.4737586,2014,1,0,https://untappd.com/WanderBrewing,107.96,136.75,199.87,182.97,183.47,175.19,177.33,220.62,166.52,134.83,144.36,106.86,1936.73
Wandering Hop Brewery,taproom,508 N 20th Ave,Yakima,98902,Yakima,46.6052949,-120.53703,2019,0,0,https://untappd.com/WanderingHop,12.95,17.29,43.04,27.68,28.07,32.96,17.54,25.94,20.59,34.73,19.69,20.66,301.14
Water Buffalo Brewery,micro,136 Russet Road,Walla Walla,99362,Walla Walla,46.0522023,-118.40608,2020,1,0,https://untappd.com/WaterBuffaloBrewery,0.58,1.44,3.75,0.89,3.16,6.05,8.21,6.2,6.09,4.06,1.33,1.3,43.06
Watts Brewing Company,brewpub,15510 Redmond - Woodinville Rd NE #E110,Woodinville,98072,Snohomish,47.74011203,-122.1537687,2015,1,0,https://untappd.com/WattsBrewingCompany,1.67,1.67,1.17,0.67,0.17,1.75,3.33,11.33,22.83,18.17,16.33,19.35,98.44
Well 80 Brewing Company,taproom,514 4th Ave E,Olympia,98501,Thurston,47.04534571,-122.8964257,2021,1,0,https://untappd.com/Well80Brewhouse,27.08,39.42,35.59,41.23,45.62,27.75,40.5,30.92,44.75,34.58,13.83,32.57,413.84
Wenatchee Valley Brewing Company,brewpub,108 E Island View Street,Wenatchee,98801,Chelan,47.434948,-120.31472,2016,1,0,https://untappd.com/WenatcheeValleyBrewingCompany,19.0,22.0,32.0,37.5,41.17,40.91,38.33,52.8,57.47,62.15,15.3,15.49,434.12
West Seattle Brewing Company,brewpub,4414 Fauntleroy Way Sw,Seattle,98126,King,47.5642194,-122.3776803,2013,0,0,https://untappd.com/WestSeattleBrewingCo,4.72,11.75,18.77,25.8,37.21,48.62,48.37,48.12,39.42,30.73,22.03,13.07,348.61
Western Red Brewing,taproom,19168 Jensen Way Ne,Poulsbo,98370,Kitsap,47.7370261,-122.6466751,2018,1,0,https://untappd.com/WesternRedBrewing,108.11,55.45,75.32,109.99,144.67,93.73,66.88,119.6,172.32,140.57,108.82,43.15,1238.61
Wet Coast Brewing Company,micro,6820 Kimball Dr Suite C,Gig Harbor,98335,Pierce,47.32100098,-122.5871411,2015,1,0,https://untappd.com/WetCoastBrewing,60.44,59.63,120.55,181.47,92.57,97.03,101.69,89.16,79.01,71.17,62.55,64.36,1079.63
Wheelie Pop Brewing,taproom,1110 NW 50th St,Seattle,98107,King,47.6651248,-122.3710279,2020,0,0,https://untappd.com/WheeliePopBrewing,11.67,11.67,27.86,16.2,28.38,29.9,34.34,32.59,47.37,35.71,32.68,27.08,335.45
Whipsaw Brewing,taproom,704 N Wenas St,Ellensburg,98926,Kittitas,46.99859732,-120.5555012,2016,0,0,https://untappd.com/WhipsawBrewing,30.59,36.25,58.02,84.17,89.36,128.14,97.99,132.65,138.51,131.33,117.2,69.48,1113.69
Whistle Punk Brewing Company,micro,122 S Monroe,Spokane,99201,Spokane,47.6559616,-117.42673,2016,1,0,https://untappd.com/WhistlePunkBrewing,23.33,16.33,29.17,32.0,31.67,25.0,25.0,32.17,19.5,32.67,25.17,19.5,311.51
White Bluffs Brewing,taproom,2034 Logston Blvd,Richland,99354,Benton,46.31881569,-119.3015375,2011,1,0,https://untappd.com/w/white-bluffs-brewing/10846,95.68,109.82,107.8,106.39,104.73,135.97,79.97,113.58,123.82,96.2,87.19,114.72,1275.87
Whitewall Brewing Company,taproom,14524 Smokey Point Blvd,Marysville,98271,Snohomish,48.12819955,-122.1843224,2014,1,0,https://untappd.com/WhitewallBrewingCompany,20.64,28.39,39.96,16.82,35.7,22.75,30.91,31.59,27.49,22.26,19.73,27.71,323.95
Wicked Teuton Brewing Company,brewpub,1341 SW Barlow St,Oak Harbor,98277,Island,48.28738818,-122.6599142,2017,0,0,https://untappd.com/WickedTeutonBrewingCompany,6.0,5.5,6.67,5.0,7.75,9.5,8.83,5.5,7.83,6.55,7.67,7.67,84.47
Wild Man Brewing Company,micro,203 Duryea St,Raymond,98577,Pacific,46.68666224,-123.7343282,2021,0,0,https://untappd.com/WildManBrewing,12.96,9.65,8.21,8.22,10.44,14.63,8.84,16.62,12.2,12.94,10.64,9.27,134.62
Wild Oak Project,brewpub,5229 144th St SE,Everett,98208,Snohomish,47.86718627,-122.160425,2022,0,0,https://untappd.com/WildOakProject,0.0,0.15,,,0.23,,,,,,,,
Wildland Cooperative,micro,8022 E Greenbluff Rd,Colbert,99005,Spokane,47.8234405,-117.2975874,2021,0,0,https://untappd.com/wildlandcoop,,,,,1.66,0.31,2.31,,5.0,,9.65,,
Willapa Brewing Company,taproom,405 Minnesota St,South Bend,98586,Pacific,46.66534241,-123.7923129,2018,0,0,https://untappd.com/WillapaBrewingCo,2.67,6.82,5.16,9.14,6.48,9.3,1.98,8.62,6.81,9.43,4.47,3.84,74.72
Yakima Craft Brewing Company,taproom,2920 River Road #6,Yakima,98902,Yakima,46.61792914,-120.5474552,2008,0,1,https://untappd.com/v/yakima-craft-brewing-company/49925,37.83,30.47,35.62,22.31,29.2,48.07,32.86,25.91,20.24,25.01,15.26,5.5,328.28
Yaya Brewing Company,taproom,11712 E Montgomery Dr,Spokane Valley,99206,Spokane,47.674922,-117.247451,2020,1,0,https://untappd.com/YaYaBrewingCompany,54.0,45.23,103.06,56.0,52.98,85.67,73.49,72.06,46.59,67.73,90.8,62.34,809.95
Yoked Farmhouse and Brewery,taproom,525 SW Pine Rd SW,Port Orchard,98376,Kitsap,47.41845427,-122.6545476,2020,0,0,https://untappd.com/YokedFarmhouseBrewery,9.98,23.64,26.94,30.23,33.53,34.72,35.92,50.4,64.87,53.48,42.09,30.7,436.5
